substituent,SMILES for benzoic,SMILES for benzoate,Hammett Constant,SMILE Substituent,Isomer,Charge_acid,Multi_acid,Charge_benzoate,Multi_benzoate
SCF3-p,O=C(O)C1=CC=C(SC(F)(F)F)C=C1,O=C([O-])C1=CC=C(SC(F)(F)F)C=C1,0.5,[S]C(F)(F)F,2,0,1,-1,1
SCh=CH2-m,O=C(O)C1=CC(SC=C)=CC=C1,O=C([O-])C1=CC(SC=C)=CC=C1,0.26,[S]C=C,1,0,1,-1,1
SCh=CH2-p,O=C(O)C1=CC=C(SC=C)C=C1,O=C([O-])C1=CC=C(SC=C)C=C1,0.2,[S]C=C,2,0,1,-1,1
SCH=CHCl-m,O=C(O)C1=CC(SC=CCl)=CC=C1,O=C([O-])C1=CC(SC=CCl)=CC=C1,0.31,[S]C=CCl,1,0,1,-1,1
SCH=CHCl-p,O=C(O)C1=CC=C(SC=CCl)C=C1,O=C([O-])C1=CC=C(SC=CCl)C=C1,0.24,[S]C=CCl,2,0,1,-1,1
SCH2CH=CH2-m,O=C(O)C1=CC=CC(SCC=C)=C1,O=C([O-])C1=CC=CC(SCC=C)=C1,0.19,[S]CC=C,1,0,1,-1,1
SCH2CH=CH2-p,O=C(O)C1=CC=C(SCC=C)C=C1,O=C([O-])C1=CC=C(SCC=C)C=C1,0.12,[S]CC=C,2,0,1,-1,1
SCH2F-m,C1=CC(=CC(=C1)SCF)C(=O)O,C1=CC(=CC(=C1)SCF)C(=O)[O-],0.23,[S]CF,1,0,1,-1,1
SCH2F-p,C1=CC(=CC=C1C(=O)O)SCF,C1=CC(=CC=C1C(=O)[O-])SCF,0.2,[S]CF,2,0,1,-1,1
SCH3-m,CSC1=CC=CC(=C1)C(=O)O,CSC1=CC=CC(=C1)C(=O)[O-],0.15,[S]C,1,0,1,-1,1
SCH3-p,CSC1=CC=C(C=C1)C(=O)O,CSC1=CC=C(C=C1)C(=O)[O-],0,[S]C,2,0,1,-1,1
SCHF2-m,C1=CC(=CC(=C1)SC(F)F)C(=O)O,C1=CC(=CC(=C1)SC(F)F)C(=O)[O-],0.33,[S]C(F)F,1,0,1,-1,1
SCHF2-p,C1=CC(=CC=C1C(=O)O)SC(F)F,C1=CC(=CC=C1C(=O)[O-])SC(F)F,0.37,[S]C(F)F,2,0,1,-1,1
SCl-m,O=C(O)C1=CC=CC(SCl)=C1,O=C([O-])C1=CC=CC(SCl)=C1,0.44,[S]Cl,1,0,1,-1,1
Scl-p,O=C(O)C1=CC=C(SCl)C=C1,O=C([O-])C1=CC=C(SCl)C=C1,0.48,[S]Cl,2,0,1,-1,1
SCN-m,C1=CC(=CC(=C1)SC#N)C(=O)O,C1=CC(=CC(=C1)SC#N)C(=O)[O-],0.51,[S]C#N,1,0,1,-1,1
SCN-p,C1=CC(=CC=C1C(=O)O)SC#N,C1=CC(=CC=C1C(=O)[O-])SC#N,0.52,[S]C#N,2,0,1,-1,1
SCOCF3-m,O=C(O)C1=CC(SC(=O)C(F)(F)F)=CC=C1,O=C([O-])C1=CC(SC(=O)C(F)(F)F)=CC=C1,0.48,[S]C(=O)C(F)(F)F,1,0,1,-1,1
SCOCF3-p,O=C(O)C1=CC=C(SC(=O)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(SC(=O)C(F)(F)F)C=C1,0.46,[S]C(=O)C(F)(F)F,2,0,1,-1,1
SCOCH3-m,O=C(O)C1=CC=CC(SC(C)=O)=C1,O=C([O-])C1=CC=CC(SC(C)=O)=C1,0.39,[S]C(C)=O,1,0,1,-1,1
SCOCH3-p,O=C(O)C1=CC=C(SC(C)=O)C=C1,O=C([O-])C1=CC=C(SC(C)=O)C=C1,0.44,[S]C(C)=O,2,0,1,-1,1
SeCF3-m,O=C(O)C1=CC([Se]C(F)(F)F)=CC=C1,O=C([O-])C1=CC([Se]C(F)(F)F)=CC=C1,0.44,[Se]C(F)(F)F,1,0,1,-1,1
SeCF3-p,O=C(O)C1=CC=C([Se]C(F)(F)F)C=C1,O=C([O-])C1=CC=C([Se]C(F)(F)F)C=C1,0.45,[Se]C(F)(F)F,2,0,1,-1,1
SeCh=CH2-m,O=C(O)C1=CC([Se]C=C)=CC=C1,O=C([O-])C1=CC([Se]C=C)=CC=C1,0.26,[Se]C=C,1,0,1,-1,1
SeCh=CH2-p,O=C(O)C1=CC=C([Se]C=C)C=C1,O=C([O-])C1=CC=C([Se]C=C)C=C1,0.21,[Se]C=C,2,0,1,-1,1
SeCH=CHCl-p,O=C(O)C1=CC=C([Se]C=CCl)C=C1,O=C([O-])C1=CC=C([Se]C=CCl)C=C1,0.26,[Se]C=CCl,2,0,1,-1,1
SeCN,C1=CC(=CC(=C1)[Se]C#N)C(=O)O,C1=CC(=CC(=C1)[Se]C#N)C(=O)[O-],0.61,[Se]C#N,1,0,1,-1,1
SeCN,C1=CC(=CC=C1C(=O)O)[Se]C#N,C1=CC(=CC=C1C(=O)[O-])[Se]C#N,0.66,[Se]C#N,2,0,1,-1,1
SeMe -m,C[Se]C1=CC=CC(=C1)C(=O)O,C[Se]C1=CC=CC(=C1)C(=O)[O-],0.1,[Se]C,1,0,1,-1,1
SeMe -p,C[Se]C1=CC=C(C=C1)C(=O)O,C[Se]C1=CC=C(C=C1)C(=O)[O-],0,[Se]C,2,0,1,-1,1
SeO2CF3-m,O=C(O)C1=CC([Se](=O)(=O)C(F)(F)F)=CC=C1,O=C([O-])C1=CC([Se](=O)(=O)C(F)(F)F)=CC=C1,1.08,[Se](=O)(=O)C(F)(F)F,1,0,1,-1,1
SeO2CF3-p,O=C(O)C1=CC=C([Se](C(F)(F)F)(=O)=O)C=C1,O=C([O-])C1=CC=C([Se](C(F)(F)F)(=O)=O)C=C1,1.21,[Se](=O)(=O)C(F)(F)F,2,0,1,-1,1
SeOCF3-m,O=C(O)C1=CC([Se]OC(F)(F)F)=CC=C1,O=C([O-])C1=CC([Se]OC(F)(F)F)=CC=C1,0.81,[Se]OC(F)(F)F,1,0,1,-1,1
SeOCF3-p,O=C(O)C1=CC=C([Se]OC(F)(F)F)C=C1,O=C([O-])C1=CC=C([Se]OC(F)(F)F)C=C1,0.83,[Se]OC(F)(F)F,2,0,1,-1,1
SF3-m,O=C(O)C1=CC(S(F)(F)F)=CC=C1,O=C([O-])C1=CC(S(F)(F)F)=CC=C1,0.7,[S](F)(F)F,1,0,1,-1,1
SF3-p,O=C(O)C1=CC=C(S(F)(F)F)C=C1,O=C([O-])C1=CC=C(S(F)(F)F)C=C1,0.8,[S](F)(F)F,2,0,1,-1,1
SF5-m,O=C(O)C1=CC=CC(S(F)(F)(F)(F)F)=C1,O=C([O-])C1=CC=CC(S(F)(F)(F)(F)F)=C1,0.61,[S](F)(F)(F)(F)F,1,0,1,-1,1
SF5-p,O=C(O)C1=CC=C(S(F)(F)(F)(F)F)C=C1,O=C([O-])C1=CC=C(S(F)(F)(F)(F)F)C=C1,0.68,[S](F)(F)(F)(F)F,2,0,1,-1,1
SH-p,C1=CC(=CC=C1C(=O)O)S,C1=CC(=CC=C1C(=O)[O-])S,0.15,[SH],2,0,1,-1,1
SH-m,C1=CC(=CC(=C1)S)C(=O)O,C1=CC(=CC(=C1)S)C(=O)[O-],0.25,[SH],1,0,1,-1,1
SiBr3-m,O=C(O)C1=CC=CC([Si](Br)(Br)Br)C=C1,O=C([O-])C1=CC=CC([Si](Br)(Br)Br)C=C1,0.48,[Si](Br)(Br)Br,1,0,1,-1,1
SiBr3-p,O=C(O)C1=CC=C([Si](Br)(Br)Br)C=C1,O=C([O-])C1=CC=C([Si](Br)(Br)Br)C=C1,0.57,[Si](Br)(Br)Br,2,0,1,-1,1
SiCl3-m,O=C(O)C1=CC=CC([Si](Cl)(Cl)Cl)=C1,O=C([O-])C1=CC=CC([Si](Cl)(Cl)Cl)=C1,0.48,[Si](Cl)(Cl)Cl,1,0,1,-1,1
SiCl3-p,O=C(O)C1=CC=C([Si](Cl)(Cl)Cl)C=C1,O=C([O-])C1=CC=C([Si](Cl)(Cl)Cl)C=C1,0.56,[Si](Cl)(Cl)Cl,2,0,1,-1,1
SiF3-m,O=C(O)C1=CC=CC([Si](F)(F)F)=C1,O=C([O-])C1=CC=CC([Si](F)(F)F)=C1,0.54,[Si](F)(F)F,1,0,1,-1,1
SiF3-p,O=C(O)C1=CC=C([Si](F)(F)F)C=C1,O=C([O-])C1=CC=C([Si](F)(F)F)C=C1,0.69,[Si](F)(F)F,2,0,1,-1,1
SiH(Me)2-m,O=C(O)C1=CC([SiH](C)C)=CC=C1,O=C([O-])C1=CC([SiH](C)C)=CC=C1,0.01,[SiH](C)C,1,0,1,-1,1
SiH(Me)2-p,O=C(O)C1=CC=C([SiH](C)C)C=C1,O=C([O-])C1=CC=C([SiH](C)C)C=C1,0.04,[SiH](C)C,2,0,1,-1,1
SiH3-m,O=C(O)C1=CC([SiH3])=CC=C1,O=C([O-])C1=CC([SiH3])=CC=C1,0.05,[SiH3],1,0,1,-1,1
SiH3-p,O=C(O)C1=CC=C([SiH3])C=C1,O=C([O-])C1=CC=C([SiH3])C=C1,0.1,[SiH3],2,0,1,-1,1
SN(Me)2-m,O=C(O)C1=CC(SN(C)C)=CC=C1,O=C([O-])C1=CC(SN(C)C)=CC=C1,0.12,[S]N(C)C,1,0,1,-1,1
SN(Me)2-p,O=C(O)C1=CC=C(SN(C)C)C=C1,O=C([O-])C1=CC=C(SN(C)C)C=C1,0.09,[S]N(C)C,2,0,1,-1,1
SO2- -m,O=C(O)C1=CC=CC(S([O-])=O)=C1,O=C([O-])C1=CC=CC(S([O-])=O)=C1,-0.02,[S]([O-])=O,1,-1,1,-2,1
SO2- -p,O=C(O)C1=CC=C(S([O-])=O)C=C1,O=C([O-])C1=CC=C(S([O-])=O)C=C1,-0.05,[S]([O-])=O,2,-1,1,-2,1
SO2CF(CF3)2-m,O=C(O)C1=CC(S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)F)=CC=C1,O=C([O-])C1=CC(S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)F)=CC=C1,0.92,[S](=O)(=O)(C(C(F)(F)F)C(F)(F)F)F,1,0,1,-1,1
SO2CF(CF3)2-p,O=C(O)C1=CC=C(S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F)C=C1,1.1,[S](=O)(=O)(C(C(F)(F)F)C(F)(F)F)F,2,0,1,-1,1
SO2CF2CF2CF3-m,O=C(O)C1=CC(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)=CC=C1,O=C([O-])C1=CC(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)=CC=C1,0.92,[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,1,0,1,-1,1
SO2CF2CF2CF3-p,O=C(O)C1=CC=C(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)C=C1,1.09,[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,2,0,1,-1,1
SO2CF2CF3-m,O=C(O)C1=CC(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)=CC=C1,O=C([O-])C1=CC(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)=CC=C1,0.92,[S](=O)(=O)C(F)(F)C(F)(F)F,1,0,1,-1,1
SO2CF2CF3-p,O=C(O)C1=CC=C(S(=O)(=O)C(F)(F)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(S(=O)(=O)C(F)(F)C(F)(F)F)C=C1,1.08,[S](=O)(=O)C(F)(F)C(F)(F)F,2,0,1,-1,1
SO2CF3-m,O=C(O)C1=CC(S(C(F)(F)F)(=O)=O)=CC=C1,O=C([O-])C1=CC(S(C(F)(F)F)(=O)=O)=CC=C1,0.83,[S](=O)(=O)C(F)(F)F,1,0,1,-1,1
SO2CF3-p,O=C(O)C1=CC=C(S(C(F)(F)F)(=O)=O)C=C1,O=C([O-])C1=CC=C(S(C(F)(F)F)(=O)=O)C=C1,0.96,[S](=O)(=O)C(F)(F)F,2,0,1,-1,1
SO2CHF2-m,O=C(O)C1=CC(S(C(F)F)(=O)=O)=CC=C1,O=C([O-])C1=CC(S(C(F)F)(=O)=O)=CC=C1,0.75,[S](=O)(C(F)(F)F)=O,1,0,1,-1,1
SO2CHF2-p,O=C(O)C1=CC=C(S(C(F)F)(=O)=O)C=C1,O=C([O-])C1=CC=C(S(C(F)F)(=O)=O)C=C1,0.86,[S](=O)(C(F)(F)F)=O,2,0,1,-1,1
SO2Cl-m,O=C(O)C1=CC=C(S(=O)(=O)Cl)C=C1,O=C([O-])C1=CC=C(S(=O)(=O)Cl)C=C1,1.2,[S](=O)(Cl)=O,1,0,1,-1,1
SO2Cl-p,O=C(O)C1=CC=CC(S(=O)(=O)Cl)=C1,O=C([O-])C1=CC=CC(S(=O)(=O)Cl)=C1,1.11,[S](=O)(Cl)=O,2,0,1,-1,1
SO2Et-m,O=C(O)C1=CC=CC(S(=O)(=O)CC)=C1,O=C([O-])C1=CC=CC(S(=O)(=O)CC)=C1,0.66,[S](=O)(CC)=O,1,0,1,-1,1
SO2Et-p,O=C(O)C1=CC=C(S(=O)(=O)CC)C=C1,O=C([O-])C1=CC=C(S(=O)(=O)CC)C=C1,0.77,[S](=O)(CC)=O,2,0,1,-1,1
SO2F-m,O=C(O)C1=CC=CC(S(=O)(=O)F)=C1,O=C([O-])C1=CC=CC(S(=O)(=O)F)=C1,0.8,[S](=O)(F)=O,1,0,1,-1,1
SO2F-p,O=C(O)C1=CC=C(S(=O)(=O)F)C=C1,O=C([O-])C1=CC=C(S(=O)(=O)F)C=C1,0.91,[S](=O)(F)=O,2,0,1,-1,1
SO3- -m,O=C(O)C1=CC=CC(S(=O)([O-])=O)=C1,O=C([O-])C1=CC=CC(S(=O)([O-])=O)=C1,0.3,[S](=O)([O-])=O,1,-1,1,-2,1
SO3- -p,O=C(O)C1=CC=C(S(=O)([O-])=O)C=C1,O=C([O-])C1=CC=C(S(=O)([O-])=O)C=C1,0.35,[S](=O)([O-])=O,2,-1,1,-2,1
SOCF3-m,O=C(O)C1=CC(S(=O)C(F)(F)F)=CC=C1,O=C([O-])C1=CC(S(=O)C(F)(F)F)=CC=C1,0.63,[S](=O)C(F)(F)F,1,0,1,-1,1
SOCF3-p,O=C(O)C1=CC=C(S(=O)C(F)(F)F)C=C1,O=C([O-])C1=CC=C(S(=O)C(F)(F)F)C=C1,0.69,[S](=O)C(F)(F)F,2,0,1,-1,1
SOCH3-m,O=C(O)C1=CC=CC(S(C)=O)=C1,O=C([O-])C1=CC=CC(S(C)=O)=C1,0.52,[S](=O)C,1,0,1,-1,1
SOCH3-p,O=C(O)C1=CC=C(S(C)=O)C=C1,O=C([O-])C1=CC=C(S(C)=O)C=C1,0.49,[S](=O)C,2,0,1,-1,1
SOCHF2-m,O=C(O)C1=CC(S(=O)C(F)F)=CC=C1,O=C([O-])C1=CC(S(=O)C(F)F)=CC=C1,0.54,[S](=O)C(F)F,1,0,1,-1,1
SOCHF2-p,O=C(O)C1=CC=C(S(=O)C(F)F)C=C1,O=C([O-])C1=CC=C(S(=O)C(F)F)C=C1,0.58,[S](=O)C(F)F,2,0,1,-1,1
SOF-m,O=C(O)C1=CC(S(F)=O)=CC=C1,O=C([O-])C1=CC(S(F)=O)=CC=C1,0.74,[S](F)=O,1,0,1,-1,1
SOF-p,O=C(O)C1=CC=C(S(F)=O)C=C1,O=C([O-])C1=CC=C(S(F)=O)C=C1,0.83,[S](F)=O,2,0,1,-1,1
SOOH-m,C1=CC(=CC(=C1)S(=O)O)C(=O)O,C1=CC(=CC(=C1)S(=O)O)C(=O)[O-],-0.04,[S](=O)O,1,0,1,-1,1
SOOH-p,C1=CC(=CC=C1C(=O)O)S(=O)O,C1=CC(=CC=C1C(=O)[O-])S(=O)O,-0.07,[S](=O)O,2,0,1,-1,1
SSMe -m,O=C(O)C1=CC=CC(S(=S)C)=C1,O=C([O-])C1=CC=CC(S(=S)C)=C1,0.22,[S](=S)C,1,0,1,-1,1
SSMe -p,O=C(O)C1=CC=C(S(=S)C)C=C1,O=C([O-])C1=CC=C(S(=S)C)C=C1,0.13,[S](=S)C,2,0,1,-1,1
SSO2Me -m,O=C(O)C1=CC=CC(SS(=O)(=O)C)=C1,O=C([O-])C1=CC=CC(SS(=O)(=O)C)=C1,0.43,[S]S(=O)(C)=O,1,0,1,-1,1
SSO2Me -p,O=C(O)C1=CC=C(SS(=O)(=O)C)C=C1,O=C([O-])C1=CC=C(SS(=O)(=O)C)C=C1,0.54,[S]S(=O)(C)=O,2,0,1,-1,1
POF2-m,O=C(O)C1=CC=CC([P](=O)(F)F)=C1,O=C([O-])C1=CC=CC([P](=O)(F)F)=C1,0.81,[P](=O)(F)F,1,0,1,-1,1
POF2-p,O=C(O)C1=CC=C([P](=O)(F)F)C=C1,O=C([O-])C1=CC=C([P](=O)(F)F)C=C1,0.89,[P](=O)(F)F,2,0,1,-1,1
NNO2- -m,O=C(O)C1=CC=CC([N-][N+](=O)[O-])=C1,O=C([O-])C1=CC=CC([N-][N+](=O)[O-])=C1,0,[N-][N+](=O)[O-],1,-1,1,-2,1
NNO2- -p,O=C(O)C1=CC=C([N-][N+](=O)[O-])C=C1,O=C([O-])C1=CC=C([N-][N+](=O)[O-])C=C1,-0.43,[N-][N+](=O)[O-],2,-1,1,-2,1
AsO3H- -m,O=C(O)C1=CC=CC([As](=O)([O-])O)=C1,O=C([O-])C1=CC=CC([As](=O)([O-])O)=C1,0,[As](=O)([O-])O,1,-1,1,-2,1
ASO3H- -p,O=C(O)C1=CC=C([As](=O)([O-])O)C=C1,O=C([O-])C1=CC=C([As](=O)([O-])O)C=C1,-0.02,[As](=O)([O-])O,2,-1,1,-2,1
NHNH2-m,O=C(O)C1=CC=CC([NH]N)=C1,O=C([O-])C1=CC=CC([NH]N)=C1,-0.02,[NH]N,1,0,1,-1,1
NHNH2-p,O=C(O)C1=CC=C([NH]N)C=C1,O=C([O-])C1=CC=C([NH]N)C=C1,-0.55,[NH]N,2,0,1,-1,1
CClF2-m,O=C(O)C1=CC=CC([C](Cl)(F)F)=C1,O=C([O-])C1=CC=CC([C](Cl)(F)F)=C1,0.42,[C](Cl)(F)F,1,0,1,-1,1
CClF2-p,O=C(O)C1=CC=C([C](Cl)(F)F)C=C1,O=C([O-])C1=CC=C([C](Cl)(F)F)C=C1,0.46,[C](Cl)(F)F,2,0,1,-1,1
5-Cl-1-tetrazolyl-m,O=C(O)C1=CC=CC([n]2nnnc2Cl)=C1,O=C([O-])C1=CC=CC([n]2nnnc2Cl)=C1,0.6,[n]1nnnc1Cl,1,0,1,-1,1
5-Cl-1-tetrazolyl-p,O=C(O)C1=CC=C([n]2nnnc2Cl)C=C1,O=C([O-])C1=CC=C([n]2nnnc2Cl)C=C1,0.61,[n]1nnnc1Cl,2,0,1,-1,1
CN(BCl3)-m,O=C(O)C1=CC=CC([C]#[N+][B-](Cl)(Cl)Cl)=C1,O=C([O-])C1=CC=CC([C]#[N+][B-](Cl)(Cl)Cl)=C1,0.95,[C]#[N+][B-](Cl)(Cl)Cl,1,0,1,-1,1
CN(BCl3)-p,O=C(O)C1=CC=C([C]#[N+][B-](Cl)(Cl)Cl)C=C1,O=C([O-])C1=CC=C([C]#[N+][B-](Cl)(Cl)Cl)C=C1,0.86,[C]#[N+][B-](Cl)(Cl)Cl,2,0,1,-1,1
CN(BBr3)-m,O=C(O)C1=CC=CC([C]#[N+][B-](Br)(Br)Br)=C1,O=C([O-])C1=CC=CC([C]#[N+][B-](Br)(Br)Br)=C1,0.61,[C]#[N+][B-](Br)(Br)Br,1,0,1,-1,1
CN(BBr3)-p,O=C(O)C1=CC=C([C]#[N+][B-](Br)(Br)Br)C=C1,O=C([O-])C1=CC=C([C]#[N+][B-](Br)(Br)Br)C=C1,0.48,[C]#[N+][B-](Br)(Br)Br,2,0,1,-1,1
CN(BF3)-m,O=C(O)C1=CC=CC([C]#[N+][B-](F)(F)F)=C1,O=C([O-])C1=CC=CC([C]#[N+][B-](F)(F)F)=C1,0.72,[C]#[N+][B-](F)(F)F,1,0,1,-1,1
CN(BF3)-p,O=C(O)C1=CC=C([C]#[N+][B-](F)(F)F)C=C1,O=C([O-])C1=CC=C([C]#[N+][B-](F)(F)F)C=C1,0.66,[C]#[N+][B-](F)(F)F,2,0,1,-1,1
OCN-m,O=C(O)C1=CC=CC([O]C#N)=C1,O=C([O-])C1=CC=CC([O]C#N)=C1,0.67,[O]C#N,1,0,1,-1,1
OCN-p,O=C(O)C1=CC=C([O]C#N)C=C1,O=C([O-])C1=CC=C([O]C#N)C=C1,0.54,[O]C#N,2,0,1,-1,1
SO2CN-m,O=C(O)C1=CC=CC([S](=O)(=O)C#N)=C1,O=C([O-])C1=CC=CC([S](=O)(=O)C#N)=C1,1.1,[S](=O)(=O)C#N,1,0,1,-1,1
SO2CN-p,O=C(O)C1=CC=C([S](=O)(=O)C#N)C=C1,O=C([O-])C1=CC=C([S](=O)(=O)C#N)C=C1,1.26,[S](=O)(=O)C#N,2,0,1,-1,1
N(O)=NCN+ -m,O=C(O)C1=CC=CC([N+](O)=NC#N)=C1,O=C([O-])C1=CC=CC([N+](O)=NC#N)=C1,0.78,[N+](O)=NC#N,1,1,1,0,1
N(O)=NCN+ -p,O=C(O)C1=CC=C([N+](O)=NC#N)C=C1,O=C([O-])C1=CC=C([N+](O)=NC#N)C=C1,0.89,[N+](O)=NC#N,2,1,1,0,1
5-azido-1-tetrazolyl-m,O=C(O)C1=CC=CC([n]2nnnc2N=[N+]=[N-])=C1,O=C([O-])C1=CC=CC([n]2nnnc2N=[N+]=[N-])=C1,0.54,[n]1nnnc1N=[N+]=[N-],1,0,1,-1,1
5-azido-1-tetrazolyl-p,O=C(O)C1=CC=C([n]2nnnc2N=[N+]=[N-])C=C1,O=C([O-])C1=CC=C([n]2nnnc2N=[N+]=[N-])C=C1,0.54,[n]1nnnc1N=[N+]=[N-],2,0,1,-1,1
CO2- -m,O=C(O)C1=CC=CC([C](=O)([O-]))=C1,O=C([O-])C1=CC=CC([C](=O)([O-]))=C1,-0.1,[C](=O)([O-]),1,-1,1,-2,1
CO2- -p,O=C(O)C1=CC=C([C](=O)([O-]))C=C1,O=C([O-])C1=CC=C([C](=O)([O-]))C=C1,0,[C](=O)([O-]),2,-1,1,-2,1
S(O)(=NH)CF3-m,O=C(O)C1=CC=CC([S](=O)(=N)C(F)(F)F)=C1,O=C([O-])C1=CC=CC([S](=O)(=N)C(F)(F)F)=C1,0.72,[S](=O)(=N)C(F)(F)F,1,0,1,-1,1
S(O)(=NH)CF3-p,O=C(O)C1=CC=C([S](=O)(=N)C(F)(F)F)C=C1,O=C([O-])C1=CC=C([S](=O)(=N)C(F)(F)F)C=C1,0.84,[S](=O)(=N)C(F)(F)F,2,0,1,-1,1
1-(1H)-tetrazolyl-m,O=C(O)C1=CC=CC([n]2nnnc2)=C1,O=C([O-])C1=CC=CC([n]2nnnc2)=C1,0.52,[n]1nnnc1,1,0,1,-1,1
1-(1H)-tetrazolyl-p,O=C(O)C1=CC=C([n]2nnnc2)C=C1,O=C([O-])C1=CC=C([n]2nnnc2)C=C1,0.5,[n]1nnnc1,2,0,1,-1,1
5-(1H)-tetrazolyl-m,O=C(O)C1=CC=CC([c]2nnn[nH]2)=C1,O=C([O-])C1=CC=CC([c]2nnn[nH]2)=C1,0.64,[c]1nnn[nH]1,1,0,1,-1,1
5-(1H)-tetrazolyl-p,O=C(O)C1=CC=C([c]2nnn[nH]2)C=C1,O=C([O-])C1=CC=C([c]2nnn[nH]2)C=C1,0.56,[c]1nnn[nH]1,2,0,1,-1,1
5-OH-tetrazolyl-m,O=C(O)C1=CC=CC([n]2nnnc2O)=C1,O=C([O-])C1=CC=CC([n]2nnnc2O)=C1,0.39,[n]1nnnc1O,1,0,1,-1,1
5-OH-tetrazolyl-p,O=C(O)C1=CC=C([n]2nnnc2O)C=C1,O=C([O-])C1=CC=C([n]2nnnc2O)C=C1,0.33,[n]1nnnc1O,2,0,1,-1,1
5-mercapto-1-tetrazolyl-m,O=C(O)C1=CC=CC([n]2nnnc2S)=C1,O=C([O-])C1=CC=CC([n]2nnnc2S)=C1,0.45,[n]1nnnc1S,1,0,1,-1,1
5-mercapto-1-tetrazolyl-p,O=C(O)C1=CC=C([n]2nnnc2S)C=C1,O=C([O-])C1=CC=C([n]2nnnc2S)C=C1,0.45,[n]1nnnc1S,2,0,1,-1,1
116-m,O=C(O)C1=CC=CC([NH]c2nnns2)=C1,O=C([O-])C1=CC=CC([NH]c2nnns2)=C1,0.3,[NH]c1nnns1,1,0,1,-1,1
116-p,O=C(O)C1=CC=C([NH]c2nnns2)C=C1,O=C([O-])C1=CC=C([NH]c2nnns2)C=C1,0.19,[NH]c1nnns1,2,0,1,-1,1
CH=NOH-t-m,O=C(O)C1=CC=CC([CH]=NO)=C1,O=C([O-])C1=CC=CC([CH]=NO)=C1,0.22,[CH]=NO,1,0,1,-1,1
CH=NOH-t-p,O=C(O)C1=CC=C([CH]=NO)C=C1,O=C([O-])C1=CC=C([CH]=NO)C=C1,0.1,[CH]=NO,2,0,1,-1,1
"3,4-N=CHNH- -m",O=C(O)C1=CC=CC(N=C[NH-])=C1,O=C([O-])C1=CC=CC(N=C[NH-])=C1,-0.15,N=C[NH-],1,-1,1,-2,1
"3,4-N=CHNH- -p",O=C(O)C1=CC=C(N=C[NH-])C=C1,O=C([O-])C1=CC=C(N=C[NH-])C=C1,-0.15,N=C[NH-],2,-1,1,-2,1
N(O)=NCONH2+ -m,O=C(O)C1=CC=CC([N+](O)=NCON)=C1,O=C([O-])C1=CC=CC([N+](O)=NCON)=C1,0.59,[N+](O)=NCON,1,0,1,-1,1
N(O)=NCONH2+ -p,O=C(O)C1=CC=C([N+](O)=NCON)C=C1,O=C([O-])C1=CC=C([N+](O)=NCON)C=C1,0.63,[N+](O)=NCON,2,0,1,-1,1
SiMeCl2-m,O=C(O)C1=CC=CC([Si](C)(Cl)Cl)=C1,O=C([O-])C1=CC=CC([Si](C)(Cl)Cl)=C1,0.31,[Si](C)(Cl)Cl,1,0,1,-1,1
SiMeCl2-p,O=C(O)C1=CC=C([Si](C)(Cl)Cl)C=C1,O=C([O-])C1=CC=C([Si](C)(Cl)Cl)C=C1,0.39,[Si](C)(Cl)Cl,2,0,1,-1,1
SiMeF2-m,O=C(O)C1=CC=CC([Si](C)(F)F)=C1,O=C([O-])C1=CC=CC([Si](C)(F)F)=C1,0.29,[Si](C)(F)F,1,0,1,-1,1
SiMeF2-p,O=C(O)C1=CC=C([Si](C)(F)F)C=C1,O=C([O-])C1=CC=C([Si](C)(F)F)C=C1,0.28,[Si](C)(F)F,2,0,1,-1,1
SO2Me-m,O=C(O)C1=CC=CC([S](=O)(=O)C)=C1,O=C([O-])C1=CC=CC([S](=O)(=O)C)=C1,0.6,[S](=O)(=O)C,1,0,1,-1,1
SO2Me-p,O=C(O)C1=CC=C([S](=O)(=O)C)C=C1,O=C([O-])C1=CC=C([S](=O)(=O)C)C=C1,0.72,[S](=O)(=O)C,2,0,1,-1,1
HgOCOCF3-m,O=C(O)C1=CC=CC([Hg]OCOC(F)(F)F)=C1,O=C([O-])C1=CC=CC([Hg]OCOC(F)(F)F)=C1,0.5,[Hg]OCOC(F)(F)F,1,0,1,-1,1
HgOCOCF3-p,O=C(O)C1=CC=C([Hg]OCOC(F)(F)F)C=C1,O=C([O-])C1=CC=C([Hg]OCOC(F)(F)F)C=C1,0.52,[Hg]OCOC(F)(F)F,2,0,1,-1,1
